what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1413981457923
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1413981457944
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1413981457946
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1413981457947
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1413981457949
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1413981457951
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1413981457952
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1413981457954
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1413981458009
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1413981458010
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1413981458012
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1413981458012
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1413981458013
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1413981458014
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1413981458015
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1413981458025
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1413981458026
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1413981458027
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1413981458040
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1413981458041
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1413981458063
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1413981458068
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1413981458098
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1413981458147
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1413981458149
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1413981458177
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1413981458178
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1413981458194
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1413981458196
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1413981458198
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1413981458217
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1413981458217
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1413981458260
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1413981458261
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1413981458262
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1413981458263
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1413981458265
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1413981458299
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1413981458301
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1413981458301
os,sysinfo,,,"win32",1413981458341
arch,sysinfo,,,"x86_64",1413981458341
ws,sysinfo,,,"win32",1413981458341
locale,sysinfo,,,"en_GB",1413981458341
processors,sysinfo,,,"4",1413981458341
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1413981458341
java.runtime.version,sysinfo,,,"1.8.0_11-b12",1413981458341
java.specification.name,sysinfo,,,"Java Platform API Specification",1413981458341
java.specification.vendor,sysinfo,,,"Oracle Corporation",1413981458341
java.specification.version,sysinfo,,,"1.8",1413981458341
java.vendor,sysinfo,,,"Oracle Corporation",1413981458341
java.version,sysinfo,,,"1.8.0_11",1413981458341
java.vm.info,sysinfo,,,"mixed mode",1413981458341
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1413981458341
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1413981458341
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1413981458341
java.vm.specification.version,sysinfo,,,"1.8",1413981458341
java.vm.vendor,sysinfo,,,"Oracle Corporation",1413981458341
java.vm.version,sysinfo,,,"25.11-b03",1413981458341
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1413981458343
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1413981458359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413981481746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413981484603
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413981484796
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1413981485637
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1413981485663
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1413981486189
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1413981486253
